¿En qué país está ubicado el conocido “techo de América”?;Argentina;Brasil;Peru,,,,,,
Si te invitan a bailar el “Palo de Mayo”, ¿en qué país estás?;Nicaragua;El Salvador;Bolivia,,,,,
¿Cuánto duró la guerra más corta de la historia?;Treinta y siete minutos;Quince minutos;Dos horas y veinte minutos,,,,,,
¿Cuánto se duró construir el acorazado Bismarck?;5 años;7 meses;10 años,,,,,,
¿Cuál se piensa que fue la versión terrestre de la Guerra Fría?;Los juegos Olimpicos de Helsinki;La creacion del primero videojuego;El enfretamient de Corea,,,,,,
Laura fue un nombre famoso en la Segunda Guerra Mundial. ¿Por qué?;Nombre del armamento aleman;Plan para matar a Hitler;Nombre del Tratado de Rendicion,,,,,,
¿Qué frase se hizo popular tras la conquista del Imperio Inca?;Le costo un ojo de la cara;En casa de herrero,cuchillo de palo;Vea yogur...,,,,,
¿Qué avión arrojó la bomba sobre la ciudad de Hiroshima?;El Enola Gay;El Little Boy;El National Bomber,,,,,,
¿Cuántos equipos participaron en el mundial de Uruguay 1930?;13;16;14,,,,,,
¿Cuántas veces Argentina fue en un mundial hasta el 2010?;15;16;17,,,,,,
¿En que mundial se marco el gol nº 1000 de los mundiales?;Argentina 1978;Mexico 1986;Italia 1990,,,,,,
¿Que país organizó el quinto mundial de fútbol?;Suecia;Francia;Italia,,,,,,
¿Qué descubrimiento hizo la NASA en 2006, sobre Saturno?;Encontró un nuevo anillo;Encontró bloques de hielo;Descubrió unas cavernas,,,,,
¿A qué se denomina “el brazo de Orión”?;El sector que esta el sistema Solar;A la Vía Láctea;A la constelacion:Las Tres Marias,,,,,,
¿Qué astro fue “degradado” en 2006?;Plutón;Neptuno;Mercurio,,,,,,
¿Cuál es el planeta que su rotacion es diferente a los demas?;Venus;Tierra;Mercurio,,,,,,
¿Cuántos años tiene la Tierra?;4500 millones;8900 millones;3700 millones,,,,,,
¿Cuántos planetas componen el Sistema Solar?;8;9;12,,,,,,
¿Cuáles son los integrantes del grupo de “planetas interiores”?;Mercurio,la Tierra,Venus y Marte;Mercurio,Marte,Venus y Jupiter;La Tierra,Mercurio,Venus y Urano
¿De qué bandera era el cohete Gamma Centauro?;Argentino;Uruguayo;Venezolano,,,,,,
¿Cuántos satélites tiene Neptuno?;Trece;Uno;Ninguno,,,,,,
¿A qué distancia, aproximadamente, se halla el Sol de la Tierra?;149.6x10^6 Km;75.5x10^6 Km;105x10^6 Km,,,,
¿Cuántos tipos de eclipses puede presentar?;Tres;Dos;Cuatro,,,,,,
¿Hace cuánto años se formó el Sol, aproximadamente?;4650 millones;2725 millones;1964 millones,,,,,
¿Cuántas capas posee el Sol, en su constitución?;7;Son incontables;14,,,,,
¿Qué fenómeno se explica mediante las manchas solares?;La actividad en la fotosfera;Nada, son formaciones normales;La hiperactividad del nucleo,,,,,
¿Qué es la CME?;Una emision de radiacion;El nombre cientifico del Sol;La luz solar ultravioleta,,,,,,
¿Quién reside en el Sol, según el cristianismo?;El arcángel Miguel;Dios;El arcángel Rafael,,,,,
¿Cual es la capital de Brasil, país sudamericano?;Brasilia;Porto Alegre;Río de janeiro,,,,,
